ID,Name,Genes,Length
6364,rRNA processing,ABT1;BMS1;BOP1;BYSL;C1D;CHD7;DCAF13;DDX10;DDX17;DDX18;DDX21;DDX27;DDX47;DDX49;DDX51;DDX52;DDX54;DDX56;DHX37;DIEXF;DIMT1;DIS3;DKC1;EBNA1BP2;EIF4A3;EIF6;ERCC2;ERI1;ERI3;ESF1;EXOSC1;EXOSC10;EXOSC2;EXOSC3;EXOSC4;EXOSC5;EXOSC6;EXOSC7;EXOSC8;EXOSC9;FAM207A;FBL;FBLL1;FCF1;FDXACB1;FRG1;FTSJ3;GAR1;GEMIN4;GTF2H5;GTPBP4;HEATR1;HELQ;IMP3;IMP4;ISG20;ISG20L2;KRI1;KRR1;LAS1L;LSM6;LYAR;MAK16;MDN1;METTL15;METTL16;METTL5;MPHOSPH10;MPHOSPH6;MRM1;MRPL1;MRPS11;MRTO4;MTERF4;NAF1;NAT10;NGDN;NHP2;NIFK;NOB1;NOC4L;NOL10;NOL11;NOL6;NOL8;NOL9;NOLC1;NOP10;NOP14;NOP2;NOP56;NOP58;NPM3;NSA2;NSUN3;NSUN4;NSUN5;NVL;PA2G4;PDCD11;PELP1;PES1;PIH1D1;PIH1D2;POP4;POP5;POP7;PWP2;RBFA;RCL1;REXO4;RIOK1;RIOK2;RIOK3;RNASEL;RPF1;RPF2;RPL10A;RPL11;RPL14;RPL26;RPL27;RPL35;RPL35A;RPL5;RPL7;RPL7A;RPL7L1;RPP25;RPP30;RPP38;RPP40;RPS14;RPS15;RPS16;RPS17;RPS19;RPS2;RPS21;RPS24;RPS27;RPS28;RPS6;RPS7;RPS8;RPS9;RPUSD1;RPUSD2;RRNAD1;RRP1;RRP12;RRP15;RRP1B;RRP36;RRP7A;RRP8;RRP9;RRS1;RSL1D1;SART1;SBDS;SRFBP1;SUV39H1;TBL3;TEX10;TFB1M;TFB2M;THUMPD1;TRMT112;TRMT61B;TSR1;TSR2;TSR3;URB1;UTP14A;UTP14C;UTP15;UTP18;UTP20;UTP23;UTP3;UTP6;WBP11;WDR12;WDR18;WDR3;WDR36;WDR43;WDR46;WDR55;WDR74;WDR75;XRN2;YBEY;ZCCHC4;ZNHIT3;ZNHIT6,197
6367,transcription initiation from RNA polymerase II promoter,AR;BAX;CBFB;CCNB1;CCNC;CCND1;CCNH;CDK1;CDK4;CDK7;CDK8;CDK9;CDKN1A;CREBBP;E2F2;E2F3;ERCC2;ERCC3;ESR1;ESR2;ESRRA;ESRRB;ESRRG;GTF2A1;GTF2A1L;GTF2A2;GTF2B;GTF2E1;GTF2E2;GTF2F1;GTF2F2;GTF2H1;GTF2H2;GTF2H3;GTF2H4;GTF2H5;GTF2I;HNF4A;HNF4G;KAT2B;MAML1;MAML2;MAML3;MAZ;MECP2;MED1;MED10;MED12;MED13;MED14;MED15;MED16;MED17;MED20;MED23;MED24;MED25;MED26;MED27;MED30;MED31;MED4;MED6;MED7;MED8;MNAT1;NOTCH1;NOTCH2;NOTCH3;NOTCH4;NPPA;NR0B1;NR0B2;NR1D1;NR1D2;NR1H2;NR1H3;NR1H4;NR1I2;NR1I3;NR2C1;NR2C2;NR2C2AP;NR2E1;NR2F1;NR2F6;NR3C1;NR3C2;NR4A1;NR4A2;NR4A3;NR5A1;NR5A2;NR6A1;NRBF2;NRBP1;PGR;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;PPARA;PPARD;PPARG;PPARGC1A;PPM1D;PTEN;RARA;RARB;RARG;RBPJ;RORA;RORB;RORC;RUNX2;RXRA;RXRB;RXRG;SNW1;SOX9;TAF1;TAF10;TAF11;TAF12;TAF13;TAF15;TAF1L;TAF2;TAF3;TAF4;TAF4B;TAF5;TAF6;TAF7;TAF7L;TAF9;TAF9B;TBP;TBX5;TCF4;TEAD1;TEAD2;TEAD3;TEAD4;THRA;THRAP3;THRB;TP53;TRIM28;VDR;WWTR1;YAP1;ZNF45,161
6368,transcription elongation from RNA polymerase II promoter,ADRM1;AFF4;CCNH;CCNK;CCNT1;CCNT2;CDC73;CDK13;CDK7;CDK9;CTDP1;CTR9;EAF1;EAF2;ELL;ELL2;ELL3;ELOF1;ELP2;ELP4;ENY2;ERCC2;ERCC3;GTF2F1;GTF2F2;GTF2H1;GTF2H2;GTF2H3;GTF2H4;GTF2H5;IWS1;LEO1;MLLT1;MLLT3;MNAT1;NCBP1;NCBP2;NELFA;NELFB;NELFCD;NELFE;PAF1;PBRM1;PCID2;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;RTF1;SETD2;SOX10;SSRP1;SUPT16H;SUPT4H1;SUPT5H;SUPT6H;TCEA1;WDR61,66
6369,termination of RNA polymerase II transcription,CLP1;CPSF1;CPSF2;CPSF3;CPSF4;CPSF7;CSTF1;CSTF2;CSTF2T;CSTF3;FIP1L1;LSM10;LSM11;MAZ;MED18;NCBP1;NCBP2;NUDT21;PABPN1;PAPOLA;PCF11;SCAF8;SETX;SLBP;SNRPB;SNRPD3;SNRPE;SNRPF;SNRPG;SSU72;SYMPK;TTF2;WDR33;ZNF473,34
6370,7-methylguanosine mRNA capping,CCNH;CDK7;CMTR1;CMTR2;ERCC2;ERCC3;GTF2F1;GTF2F2;GTF2H1;GTF2H2;GTF2H3;GTF2H4;GTF2H5;MNAT1;NCBP1;NCBP2;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;RNGTT;RNMT;SUPT5H,31
6376,mRNA splice site selection,CELF1;CELF2;CELF3;CELF4;CELF5;CELF6;ISY1;LUC7L;LUC7L2;LUC7L3;NOL3;PRPF39;PSIP1;PTBP2;PUF60;RBMX;SETX;SF1;SF3A1;SF3A2;SF3A3;SFSWAP;SLU7;SNRPC;SRSF1;SRSF10;SRSF12;SRSF5;SRSF6;SRSF9;YTHDC1,31
6378,mRNA polyadenylation,AHCYL1;APP;CDC73;CLP1;CPSF1;CPSF2;CPSF3;CSTF2;CSTF3;FIP1L1;GRSF1;LEO1;MTPAP;NUDT21;PABPC1;PABPC1L;PAF1;PAPOLA;PAPOLB;PAPOLG;PCF11;PNPT1;SCAF8;SSU72;SYMPK;TUT1;WDR33,27
6379,mRNA cleavage,AGO1;AGO2;AGO3;AGO4;CPSF1;CPSF2;CPSF3;CPSF4;CPSF4L;CPSF6;CPSF7;CSTF2;CSTF2T;CSTF3;ERN1;FIP1L1;MOV10;NCBP1;NCBP2;NUDT21;PCF11;POLR2I;RNASE4;TUT1;ZNRD1,25
6383,transcription by RNA polymerase III,BDP1;BRF1;BRF2;CRCP;ELL;GTF3A;GTF3C1;GTF3C2;GTF3C3;GTF3C4;GTF3C5;GTF3C6;ICE1;ICE2;IVNS1ABP;POLR1C;POLR2K;POLR2L;POLR3D;POLR3F;POLR3G;POLR3GL;POLR3H;POLR3K;SNAPC1;SNAPC2;SNAPC3;SNAPC4;SNAPC5;TBP;TBPL2;ZC3H8;ZNF143;ZNF345,34
6384,transcription initiation from RNA polymerase III promoter,BDP1;BRF1;BRF2;CRCP;GTF3C1;GTF3C4;GTF3C5;POLR3H;SNAPC5;TBP;TBPL2,11
6388,"tRNA splicing, via endonucleolytic cleavage and ligation",C2orf49;CLP1;CPSF1;CPSF4;CSTF2;DDX1;FAM98B;RTCB;TRPT1;TSEN15;TSEN2;TSEN34;TSEN54;ZBTB8OS,14
6390,mitochondrial transcription,FOXO3;MRPL12;MTERF1;MTERF2;MTERF3;MTERF4;POLRMT;PPARGC1B;SLC25A33;TEFM;TFAM;TFB2M,12
6399,tRNA metabolic process,AARS2;AARSD1;ADAT1;ADAT2;ADAT3;AIMP1;AIMP2;ALKBH1;ALKBH8;ANKRD16;BCDIN3D;C2orf49;C9orf64;CARS2;CDK5RAP1;CDKAL1;CLP1;CPSF1;CPSF4;CSTF2;CTU1;CTU2;DALRD3;DARS2;DDX1;DPH3;DTD1;DTD2;DUS1L;DUS2;DUS3L;DUS4L;EARS2;EEF1E1;ELAC1;ELAC2;ELP2;ELP3;ELP4;ELP5;ELP6;EXOSC10;EXOSC2;EXOSC3;EXOSC7;EXOSC8;EXOSC9;FAM98B;FARS2;FARSA;FARSB;FTSJ1;GATC;GRSF1;GTPBP3;HARS2;HSD17B10;IARS2;KTI12;LAGE3;LARS2;LCMT2;LSM6;MARS2;METTL1;METTL2A;METTL2B;METTL6;METTL8;MOCS3;MTFMT;MTO1;NARS2;NAT10;NSUN2;NSUN3;NSUN6;OSGEP;OSGEPL1;PARS2;POLR3K;POP1;POP4;POP5;POP7;PPA1;PPA2;PSTK;PTCD1;PUS1;PUS10;PUS3;PUS7;PUSL1;QRSL1;QTRT1;RARS2;RPP14;RPP21;RPP25;RPP25L;RPP30;RPP38;RPP40;RPUSD4;RTCB;SARS2;SEPSECS;SLFN11;SLFN13;SSB;TARBP1;TARS2;THADA;THG1L;THUMPD1;THUMPD2;THUMPD3;TP53RK;TPRKB;TRDMT1;TRIT1;TRMT1;TRMT10A;TRMT10B;TRMT10C;TRMT11;TRMT112;TRMT12;TRMT13;TRMT1L;TRMT2B;TRMT44;TRMT5;TRMT6;TRMT61A;TRMT61B;TRMU;TRNT1;TRPT1;TRUB1;TSEN15;TSEN2;TSEN34;TSEN54;TYW1;TYW1B;TYW3;TYW5;URM1;VARS2;WARS2;WDR4;YARS2;ZBTB8OS,155
6400,tRNA modification,AARS2;ADAT2;ADAT3;ALKBH1;ALKBH8;ANKRD16;BCDIN3D;C9orf64;CDK5RAP1;CDKAL1;CTU1;CTU2;DPH3;DUS1L;DUS2;DUS3L;DUS4L;ELP2;ELP3;ELP4;ELP5;ELP6;FTSJ1;GTPBP3;HSD17B10;KTI12;LCMT2;METTL1;METTL2A;METTL2B;METTL6;METTL8;MOCS3;MTFMT;MTO1;NAT10;NSUN2;NSUN3;NSUN6;OSGEP;OSGEPL1;PUS1;PUS10;PUS3;PUS7;PUSL1;QTRT1;SSB;TARBP1;THADA;THG1L;THUMPD1;THUMPD2;THUMPD3;TPRKB;TRDMT1;TRIT1;TRMT1;TRMT10A;TRMT10B;TRMT10C;TRMT11;TRMT112;TRMT12;TRMT13;TRMT1L;TRMT2B;TRMT44;TRMT5;TRMT6;TRMT61A;TRMT61B;TRMU;TRUB1;TYW1;TYW1B;TYW3;TYW5;URM1;WDR4,80
6401,RNA catabolic process,AEN;AGO1;AGO3;AGO4;ATM;CASC3;CNOT1;CNOT10;CNOT11;CNOT2;CNOT3;CNOT4;CNOT6;CNOT6L;CNOT7;CNOT8;CSDE1;CTIF;DCP1B;DCP2;DCPS;DDX5;DDX6;DEDD2;DHX34;DIS3;DIS3L;DIS3L2;DNA2;DROSHA;DXO;EDC3;EDC4;EIF3E;EIF4A3;EIF4G1;ERI1;ERN1;ERN2;ETF1;EXOSC1;EXOSC10;EXOSC2;EXOSC3;EXOSC4;EXOSC5;EXOSC6;EXOSC7;EXOSC8;EXOSC9;FEN1;GSPT1;GSPT2;GTPBP2;HBS1L;HELZ2;HNRNPD;HSPA1A;HSPA1B;ISG20;KHSRP;LIN28A;LIN28B;LSM1;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;MAGOH;MAGOHB;METTL14;METTL16;METTL3;MLH1;MRTO4;MTPAP;NANOS2;NBAS;NCBP1;NCBP2;NT5C3B;NUDT12;NUDT16;NUDT16L1;OAS2;PABPC1;PABPC4;PAN2;PAN3;PARN;PATL1;PATL2;PCID2;PDE12;PELO;PNLDC1;PNPT1;PNRC2;POLR2D;POLR2G;POP1;PPP1R8;PPP2CA;PPP2R1A;PPP2R2A;PRPF18;RBM7;RBM8A;RC3H1;RNASE2;RNASE3;RNASE6;RNASEH1;RNASEH2A;RNASEH2B;RNASEH2C;RNASET2;RNH1;RNPS1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS4Y1;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA;SAMD4A;SAMD4B;SIDT2;SKIV2L;SLFN11;SLFN13;SLFN14;SMG1;SMG5;SMG6;SMG7;SMG8;SMG9;SND1;SSB;STK31;SUPV3L1;THRAP3;TNKS1BP1;TTC37;TUT1;UBA52;UPF1;UPF2;UPF3A;UPF3B;WDR61;XRN1;XRN2;YTHDF2;ZC3H12A;ZC3H12D;ZCCHC8;ZFP36;ZFP36L1;ZFP36L2;ZHX2;ZPR1,237
6402,mRNA catabolic process,AGO1;AGO3;AGO4;ATM;CASC3;CNOT1;CNOT10;CNOT11;CNOT2;CNOT3;CNOT4;CNOT6;CNOT6L;CNOT7;CNOT8;CSDE1;CTIF;DCP1B;DCP2;DCPS;DDX5;DDX6;DHX34;DIS3;DIS3L2;DXO;EDC3;EDC4;EIF3E;EIF4A3;EIF4G1;ERI1;ERN1;ETF1;EXOSC1;EXOSC10;EXOSC2;EXOSC3;EXOSC4;EXOSC5;EXOSC6;EXOSC7;EXOSC8;EXOSC9;GSPT1;GSPT2;GTPBP2;HBS1L;HELZ2;HSPA1A;HSPA1B;KHSRP;LSM1;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;MAGOH;MAGOHB;METTL14;METTL16;METTL3;MLH1;MRTO4;MTPAP;NANOS2;NBAS;NCBP1;NCBP2;NT5C3B;NUDT12;NUDT16;NUDT16L1;PABPC1;PAN2;PAN3;PARN;PATL1;PATL2;PCID2;PDE12;PELO;PNLDC1;PNPT1;PNRC2;POLR2D;POLR2G;PPP2CA;PPP2R1A;PPP2R2A;PRPF18;RBM8A;RC3H1;RNH1;RNPS1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS4Y1;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA;SAMD4A;SAMD4B;SKIV2L;SLFN14;SMG1;SMG5;SMG6;SMG7;SMG8;SMG9;SSB;SUPV3L1;THRAP3;TNKS1BP1;TTC37;TUT1;UBA52;UPF1;UPF2;UPF3A;UPF3B;WDR61;XRN1;XRN2;YTHDF2;ZC3H12A;ZC3H12D;ZFP36;ZFP36L1;ZFP36L2;ZHX2,206
6403,RNA localization,AAAS;ABCE1;AGFG1;AHCTF1;ALKBH5;ALYREF;ARC;ATM;ATR;ATXN2;BICD1;BICD2;C12orf50;CASC3;CCT2;CCT4;CDC40;CETN2;CETN3;CHTOP;CKAP5;CPSF1;CPSF2;CPSF3;CPSF4;DDX19A;DDX19B;DDX25;DDX39A;DDX39B;DHX38;DHX9;DKC1;EIF4A3;EIF4E;EIF5A;EIF5A2;EIF5AL1;EIF6;ENY2;EXOSC10;EXOSC2;EXOSC3;FBL;FIP1L1;FLOT1;FMR1;FYTTD1;G3BP2;GLE1;HHEX;HNRNPA1;HNRNPA1L2;HNRNPA2B1;HNRNPU;HSF1;IGF2BP1;IGF2BP2;IGF2BP3;IWS1;KHSRP;KIF5C;LRPPRC;LSG1;LTV1;LUZP4;MAGOH;MAGOHB;MCM3AP;MEX3D;MRPL18;MVP;MX2;MYO1C;NCBP1;NCBP2;NDC1;NMD3;NOL6;NOP58;NPAP1;NPIPA1;NPM1;NUP107;NUP133;NUP153;NUP155;NUP160;NUP188;NUP205;NUP210;NUP214;NUP35;NUP37;NUP43;NUP50;NUP54;NUP62;NUP85;NUP88;NUP93;NUP98;NUTF2;NXF1;NXF3;NXF5;NXT1;NXT2;PABPN1;PARP11;PCID2;PHAX;PIH1D1;PNPT1;POLDIP3;POLR2D;POM121;POM121C;POM121L12;POM121L2;PRPF18;PRPF31;PRPF6;PURA;QKI;RAE1;RAN;RANBP17;RANBP2;RBFOX1;RBM15B;RBM8A;RFTN1;RFTN2;RNPS1;RPS15;RRS1;SARNP;SDAD1;SEC13;SEH1L;SENP2;SFPQ;SIDT1;SIDT2;SLBP;SLU7;SMG1;SMG5;SMG6;SMG7;SNUPN;SRRM1;SRSF1;SRSF11;SRSF2;SRSF3;SRSF4;SRSF5;SRSF6;SRSF7;SRSF9;SSB;SUPT6H;SYMPK;TCP1;TERF2;TGFBR2;THOC1;THOC2;THOC3;THOC5;THOC6;THOC7;TNKS;TOMM20;TOMM20L;TPR;TSC1;TST;U2AF1;U2AF1L4;U2AF2;UPF1;UPF2;UPF3A;UPF3B;WDR33;WRAP53;XPO1;XPO5;XPO7;XPOT;YBX1;YTHDC1;YY1;ZC3H11A;ZC3H3;ZFP36;ZFP36L1;ZNF385A;ZNF593;ZNHIT3;ZNHIT6,204
6405,RNA export from nucleus,AAAS;ABCE1;AGFG1;ALKBH5;ALYREF;C12orf50;CASC3;CDC40;CHTOP;CPSF1;CPSF2;CPSF3;CPSF4;DDX19A;DDX19B;DDX25;DDX39A;DDX39B;DHX38;EIF4A3;EIF4E;EIF5A;EIF6;ENY2;FIP1L1;FYTTD1;GLE1;HHEX;HNRNPA1;HNRNPA2B1;LSG1;LTV1;MAGOH;MAGOHB;MCM3AP;NCBP1;NCBP2;NDC1;NMD3;NOL6;NPAP1;NPM1;NUP107;NUP133;NUP153;NUP155;NUP160;NUP188;NUP205;NUP210;NUP214;NUP35;NUP37;NUP43;NUP50;NUP54;NUP62;NUP85;NUP88;NUP93;NUP98;NXF1;NXF3;NXF5;NXT1;PABPN1;PCID2;PHAX;POLDIP3;POLR2D;POM121;POM121C;POM121L12;POM121L2;RAE1;RAN;RANBP2;RBM15B;RBM8A;RNPS1;RPS15;RRS1;SARNP;SDAD1;SEC13;SEH1L;SLBP;SLU7;SMG1;SMG5;SMG6;SMG7;SRRM1;SRSF1;SRSF11;SRSF2;SRSF3;SRSF4;SRSF5;SRSF6;SRSF7;SRSF9;SSB;SYMPK;THOC1;THOC2;THOC3;THOC5;THOC6;THOC7;TPR;TSC1;U2AF1;U2AF1L4;U2AF2;UPF1;UPF2;UPF3B;WDR33;XPO1;XPO5;XPOT;YTHDC1;ZC3H11A;ZNF593,125
6406,mRNA export from nucleus,AAAS;AGFG1;ALKBH5;ALYREF;C12orf50;CASC3;CDC40;CHTOP;CPSF1;CPSF2;CPSF3;CPSF4;DDX19A;DDX19B;DDX25;DDX39A;DDX39B;DHX38;EIF4A3;EIF4E;EIF5A;ENY2;FIP1L1;FYTTD1;GLE1;HHEX;HNRNPA2B1;MAGOH;MAGOHB;MCM3AP;NCBP1;NCBP2;NDC1;NUP107;NUP133;NUP153;NUP155;NUP160;NUP188;NUP205;NUP210;NUP214;NUP35;NUP37;NUP43;NUP50;NUP54;NUP62;NUP85;NUP88;NUP93;NUP98;NXF1;NXF3;NXF5;NXT1;PABPN1;PCID2;POLDIP3;POLR2D;POM121;POM121C;RAE1;RANBP2;RBM15B;RBM8A;RNPS1;SARNP;SEC13;SEH1L;SLBP;SLU7;SMG1;SMG5;SMG6;SMG7;SRRM1;SRSF1;SRSF11;SRSF2;SRSF3;SRSF4;SRSF5;SRSF6;SRSF7;SRSF9;SYMPK;THOC1;THOC2;THOC3;THOC5;THOC6;THOC7;TPR;U2AF1;U2AF1L4;U2AF2;UPF1;UPF2;UPF3B;WDR33;YTHDC1;ZC3H11A,103
6409,tRNA export from nucleus,AAAS;NDC1;NOL6;NUP107;NUP133;NUP153;NUP155;NUP160;NUP188;NUP205;NUP210;NUP214;NUP35;NUP37;NUP43;NUP50;NUP54;NUP62;NUP85;NUP88;NUP93;NUP98;POM121;POM121C;RAE1;RAN;RANBP2;SEC13;SEH1L;SSB;TPR;XPOT,32
6413,translational initiation,ABCE1;AGO2;COPS5;DDX3X;DENR;DHX29;DHX33;EIF1;EIF1AD;EIF1AX;EIF1AY;EIF1B;EIF2A;EIF2B1;EIF2B2;EIF2B3;EIF2B4;EIF2B5;EIF2D;EIF2S1;EIF2S2;EIF2S3;EIF3A;EIF3B;EIF3C;EIF3CL;EIF3D;EIF3E;EIF3F;EIF3G;EIF3H;EIF3I;EIF3J;EIF3K;EIF3L;EIF3M;EIF4A1;EIF4A2;EIF4B;EIF4E;EIF4E1B;EIF4E2;EIF4E3;EIF4EBP1;EIF4G1;EIF4G2;EIF4G3;EIF4H;EIF5;EIF5B;EIF6;LARP1;MCTS1;MTFMT;MTIF2;MTIF3;PABPC1;PAIP1;RBM4;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS4Y1;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA;UBA52,138
6414,translational elongation,ABTB1;AURKAIP1;CHCHD1;DAP3;DIO2;EEF1A1;EEF1A2;EEF1B2;EEF1D;EEF1G;EEF2;EEF2K;EEFSEC;EIF5A;EIF5A2;EIF5AL1;ERAL1;GADD45GIP1;GFM1;GFM2;GTPBP1;GTPBP2;HBS1L;LTN1;MRPL1;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL18;MRPL19;MRPL2;MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL30;MRPL32;MRPL33;MRPL34;MRPL35;MRPL36;MRPL37;MRPL38;MRPL39;MRPL4;MRPL40;MRPL41;MRPL42;MRPL43;MRPL44;MRPL45;MRPL46;MRPL47;MRPL48;MRPL49;MRPL50;MRPL51;MRPL52;MRPL53;MRPL54;MRPL55;MRPL57;MRPL9;MRPS10;MRPS11;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18A;MRPS18B;MRPS18C;MRPS2;MRPS21;MRPS22;MRPS23;MRPS24;MRPS25;MRPS26;MRPS27;MRPS28;MRPS30;MRPS31;MRPS33;MRPS34;MRPS35;MRPS36;MRPS5;MRPS6;MRPS7;MRPS9;NEMF;OXA1L;PTCD3;RPLP1;RPLP2;SECISBP2;SECISBP2L;SEPSECS;TRNAU1AP;TSFM;TUFM;ZNF598,113
6415,translational termination,ABCE1;APEH;AURKAIP1;C12orf65;CHCHD1;DAP3;ERAL1;ETF1;GADD45GIP1;GFM2;GSPT1;GSPT2;MRPL1;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL18;MRPL19;MRPL2;MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL30;MRPL32;MRPL33;MRPL34;MRPL35;MRPL36;MRPL37;MRPL38;MRPL39;MRPL4;MRPL40;MRPL41;MRPL42;MRPL43;MRPL44;MRPL45;MRPL46;MRPL47;MRPL48;MRPL49;MRPL50;MRPL51;MRPL52;MRPL53;MRPL54;MRPL55;MRPL57;MRPL9;MRPS10;MRPS11;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18A;MRPS18B;MRPS18C;MRPS2;MRPS21;MRPS22;MRPS23;MRPS24;MRPS25;MRPS26;MRPS27;MRPS28;MRPS30;MRPS31;MRPS33;MRPS34;MRPS35;MRPS36;MRPS5;MRPS6;MRPS7;MRPS9;MRRF;MTRF1;MTRF1L;N6AMT1;OXA1L;PTCD3;TRMT112,96
6418,tRNA aminoacylation for protein translation,AARS2;AARSD1;AIMP1;AIMP2;CARS2;DALRD3;DARS2;EARS2;EEF1E1;FARS2;FARSA;FARSB;HARS2;IARS2;LARS2;MARS2;NARS2;PARS2;PPA1;PPA2;RARS2;SARS2;TARS2;VARS2;WARS2;YARS2,26
6446,regulation of translational initiation,AGO2;ALKBH1;ATF4;BANK1;BOLL;C8orf88;CCL5;CDC123;CTIF;DAZL;DDX1;DDX3X;DHX29;DNAJC3;EIF1;EIF1B;EIF2AK1;EIF2AK2;EIF2AK3;EIF2AK4;EIF2B1;EIF2B2;EIF2B5;EIF2S1;EIF3B;EIF3E;EIF3H;EIF3K;EIF4A2;EIF4B;EIF4EBP1;EIF4EBP2;EIF4EBP3;EIF4G1;EIF4G2;EIF4G3;EIF4H;EIF5;EIF5B;FMR1;GLE1;HABP4;HSPB1;IMPACT;KHDRBS1;KLHL25;LARP1;METTL3;MIF4GD;MTIF2;MTOR;NCBP1;NCBP2;NCK1;NCK2;NPM1;PAIP1;PAIP2;PAIP2B;POLR2D;POLR2G;PPP1CA;PPP1R15A;PPP1R15B;RBM4;RPL13A;RPS6KB1;RPS6KB2;RXRA;TNF;TPR;UHMK1;YTHDF1;YTHDF2,74
6448,regulation of translational elongation,ALKBH1;CPEB2;CPEB3;DNAJC24;DPH1;DPH2;DPH3;DPH5;DPH6;DPH7;EIF4A3;EIF5A;EIF5A2;EIF5AL1;GRM5;RPL30;SRP9;USP16,18
6449,regulation of translational termination,EIF5A;EIF5A2;EIF5AL1;ETF1;GLE1;GSPT1;JMJD4;MTRF1;OGFOD1;UPF1,10
6450,regulation of translational fidelity,AARS2;AARSD1;CDK5RAP1;DTD1;DTD2;EIF2S3;GATC;HSPA14;IARS2;LARS2;RPS5;RPS9;TARS2;VARS2;YRDC,15
