"","ID","Name","Genes","Length"
"595",1096,"SNX complex (SNX1, SNX1a, SNX2, SNX4, PDGFRA)","SNX2;SNX4;PDGFRA;SNX1",4
"596",1097,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)","EIF3F;EIF3D;EIF3H;EIF3G;EIF3J;EIF3B;EIF3E;EIF3I;EIF3A;EIF3M;EIF3C;EIF3K;EIF3L",13
"597",1098,"DNA synthesome complex (13 subunits)","POLA1;TOP1;TOP2A;PCNA;RPA1;POLD1;RFC1;POLD2;PRIM1;PRIM2;POLA2;POLD3;POLD4",13
"598",1099,"DNA synthesome complex (17 subunits)","POLA1;TOP1;TOP2A;PCNA;RPA1;POLD1;RFC1;POLD2;PRIM1;PRIM2;POLE2;POLE;POLA2;POLD3;POLD4;POLE4;POLE3",17
"599",1100,"DNA polymerase alpha-primase complex","POLA1;PRIM1;PRIM2;POLA2",4
"600",1101,"transcription factor IIIC multisubunit complex","GTF3C1;GTF3C2;GTF3C4;GTF3C5;GTF3C3",5
"601",1104,"SNX complex (SNX1, SNX1a, TFRC)","TFRC;SNX1",2
"602",1105,"transcription factor IIIC multisubunit complex","GTF3C1;GTF3C2;GTF3C4;GTF3C5;GTF3C3",5
"603",1106,"TFIIIC containing-TOP1-SUB1 complex","TOP1;SUB1;GTF3C1;GTF3C2;GTF3C4;GTF3C5;GTF3C3",7
"604",1107,"DNA synthesome core complex","POLA1;PCNA;POLD1;RFC1;POLD2;PRIM1;PRIM2;POLA2;POLD3;POLD4",10
"605",1108,"DNA synthesome complex (15 subunits)","POLA1;PCNA;LIG1;POLD1;RFC1;POLD2;PRIM1;PRIM2;POLE2;POLE;POLA2;POLD3;POLD4;POLE4;POLE3",15
"606",1111,"DNA synthesome complex (17 subunits)","POLA1;TOP1;TOP2A;PCNA;RPA1;POLD1;RFC1;POLD2;PRIM1;PRIM2;POLE2;POLE;POLA2;POLD3;POLD4;POLE4;POLE3",17
"607",1113,"5S-DNA-TFIIIA-TFIIIC2 subcomplex","GTF3C1;GTF3C2;GTF3A;GTF3C4;GTF3C5;GTF3C3",6
"608",1114,"5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex","BDP1;TBP;GTF3C1;GTF3C2;GTF3A;BRF1;GTF3C4;GTF3C5;GTF3C3",9
"609",1116,"CRM1-Survivin-AuroraB mitotic complex","XPO1;BIRC5;AURKB",3
"610",1117,"CRM1-Survivin mitotic complex","XPO1;BIRC5",2
"611",1118,"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)","BIRC5;CDCA8;AURKB;INCENP",4
"612",1119,"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)","BIRC5;CDCA8;AURKB;INCENP",4
"613",1120,"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5)","BIRC5;CDCA8;INCENP",3
"614",1121,"WNK1-OSR1 complex","OXSR1;WNK1",2
"615",1123,"WNK1-SPAK complex","WNK1;STK39",2
"616",1130,"Hip1R-cortactin complex","HIP1R;CTTN",2
"617",1131,"RFC2-RIalpha complex","PPP2R1A;RFC2",2
"618",1132,"RFC2-RIalpha complex","PPP2R1A;RFC4",2
"619",1133,"ATR-HDAC2 complex","ATR;HDAC2",2
"620",1134,"ATR-HDAC2-CHD4 complex","ATR;CHD4;HDAC2",3
"621",1137,"SNARE complex (VAMP2, SNAP25, STX1a, CPLX1, CPLX3)","CPLX1;SNAP25;VAMP2;STX1A;CPLX3",5
"622",1138,"SNARE complex (VAMP2, SNAP25, STX1a, CPLX3, CPLX4)","SNAP25;VAMP2;STX1A;CPLX4;CPLX3",5
"623",1139,"SNARE complex (VAMP2, SNAP25, STX1a, STX3, CPLX1, CPLX3, CPLX4)","CPLX1;SNAP25;VAMP2;STX3;STX1A;CPLX4;CPLX3",7
"624",1140,"Complexin complex (STX3, CPLX1, CPLX3)","CPLX1;STX3;CPLX3",3
"625",1141,"CF IIAm complex (Cleavage factor IIAm complex)","NUDT21;DHX16;PCF11;ERCC3;SFPQ;U2AF2;PTBP1;MRE11A;U2AF1;TJP1;CAPRIN1;CPSF6;CPSF7;GTF2H4;CLP1;CPSF3",16
"626",1142,"SMN complex","GEMIN2;SNRPB;SNRPE;SNRPF;SNRPG;SNRPD1;SNRPD2;SNRPD3;SMN1; SMN2;DDX20",11
"627",1143,"SMN complex","GEMIN2;SNRPB;GEMIN4;SNRPE;SNRPF;SNRPG;SNRPD1;SNRPD2;SNRPD3;SMN1; SMN2;GEMIN5;GEMIN6;GEMIN7;GEMIN8;DDX20;STRAP",17
"628",1144,"Cleavage and polyadenylation factor (CPSF)","CPSF4;CPSF1;FIP1L1;CPSF2;CPSF3",5
"629",1146,"Cleavage stimulation factor","CSTF2;CSTF1;CSTF3",3
"630",1147,"Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)","CSTF2;CSTF1;CPSF1;CSTF3;SYMPK;CPSF2;CPSF3",7
"631",1148,"snRNP-free U1A (SF-A) complex","SNRPA;DDX5;SFPQ;NONO",4
"632",1149,"Histone H3.1 complex","HAT1;NASP;HIST1H4A;;HIST1H3A;;RBBP4;CHAF1A;CHAF1B;IPO4;ASF1B;ASF1A",10
"633",1150,"Histone H3.3 complex","HAT1;NASP;HIRA;HIST1H4A;;H3F3A; H3F;RBBP4;IPO4;ASF1B;ASF1A",10
"634",1152,"FA complex (Fanconi anemia complex)","FANCG;FANCA;FANCC;FANCM;FANCB;FANCE;FANCF;FANCL",8
"635",1153,"Integrator complex","CPSF3L;INTS3;INTS5;INTS8;INTS1;INTS12;INTS4;INTS2;INTS9;INTS7;INTS10;INTS6",12
"636",1154,"DSS1 complex","SAC3D1;BRCA2;SHFM1;CPSF3L;INTS5;INTS8;INTS4;LENG8;INTS2;INTS9;INTS7;INTS10;INTS6",13
"637",1155,"Integrator-RNAPII complex","POLR2A;POLR2B;CPSF3L;INTS3;INTS5;INTS8;INTS1;INTS12;INTS4;INTS2;INTS9;INTS7;INTS10;INTS6",14
"638",1158,"p33ING1b-p300 complex","EP300;ING1",2
"639",1159,"p33ING1b-HDAC1 complex","HDAC1;ING1",2
"640",1160,"ING1-p300-PCNA complex","PCNA;EP300;ING1",3
"641",1162,"Ubiquitin E3 ligase (DDB1, DDB2, CUL4A, CUL4B, RBX1)","RBX1;CUL4A;CUL4B;DDB1;DDB2",5
"642",1163,"ING1-PCNA complex","PCNA;ING1",2
"643",1165,"RNF20-RNF40-UbE2E1 complex","RNF40;UBE2E1;RNF20",3
"644",1166,"p400-associated complex","ACTL6A;ACTB;EP400;RUVBL2;RUVBL1;TRRAP",6
"645",1167,"Paf complex","CDC73;CTR9;PAF1;LEO1;WDR61",5
"646",1168,"SKI complex","SKIV2L;TTC37;WDR61",3
"647",1169,"SNARE complex (STX4, VAMP8, VAMP3, SNAP23)","SNAP23;STX4;VAMP3;VAMP8",4
"648",1170,"c-MYC-ATPase-helicase complex","ACTL6A;MYC;RUVBL2;RUVBL1;TRRAP",5
"649",1171,"c-MYC-ATPase-helicase complex","ACTL6A;MYC;RUVBL2;RUVBL1;TRRAP",5
"650",1172,"CBC complex (cap binding complex)","NCBP2;NCBP1",2
"651",1173,"TIP49-TIP48-BAF53 complex","ACTL6A;RUVBL2;RUVBL1",3
"652",1174,"PHAX-CBC complex (cap binding complex)","NCBP2;NCBP1;PHAX",3
"653",1175,"TRRAP-BAF53-HAT complex","ACTL6A;TRRAP",2
"654",1176,"CRM1-RAN-PHAX-CBC complex (cap binding complex)","XPO1;NCBP2;RAN;NCBP1;PHAX",5
"655",1177,"Polycomb repressive complex 4","EED;EZH2;SIRT1",3
"656",1178,"BCOR complex","HSPA8;SKP1;RING1;BCOR;RYBP;KDM2B;RNF2;PCGF1",8
"657",1179,"CENP-A NAC-CAD complex","CENPC;ITGB3BP;CENPP;CENPU;CENPQ;CENPL;APITD1;CENPT;CENPN;CENPK;CENPO;CENPH;CENPM",13
"658",1181,"C complex spliceosome","SART1;HNRNPR;PLRG1;AQR;SYNCRIP;CDC40;SF3B1;SNRNP200;PRPF6;SLU7;SYF2;HNRNPC;SNRPB2;HNRNPA1;SNRPA1;PABPC1;SNRPB;DDX5;HNRNPA2B1;HNRNPH1;RBMX;EIF4A3;MTREX;HNRNPA3;HNRNPM;HNRNPF;MAGOH;HNRNPK;SNRPE;SNRPF;SNRPG;LSM3;SNRPD1;SNRPD2;SNRPD3;HNRNPU;U2AF1;SRSF1;SF3A3;SF3B2;PRPF4B;SNW1;FRG1;DHX8;EFTUD2;SF3B3;SF3A2;SF3A1;ZCCHC8;PRPF8;CWC27;ALYREF;SRRM1;CACTIN;DHX38;PPWD1;DGCR14;SNRNP40;CDC5L;GPATCH1;WDR83;DDX23;CRNKL1;PPIL3;PNN;DHX35;CWC22;XAB2;RBM22;CWC15;TFIP11;DDX41;RALY;ISY1;PRPF19;PPIE;SRRM2;LSM2;PPIL1;RBM8A",80
"659",1182,"CDC5L core complex","PLRG1;BCAS2;HSPA8;GCN1;CDC5L;PRPF19",6
"660",1183,"CDC5L complex","SFI1;PPM1D;PLRG1;SF3B1;BCAS2;SNRPA;SNRPA1;HSPA8;TOP2A;TCF4;SFPQ;RBMX;PPP1CA;SNRPD1;SNRPD2;SNRPD3;PRKDC;SRSF2;SRSF1;ILF2;SF3B2;DYNC1H1;SF3B4;BZW1;SRRM1;GCN1;CDC5L;CWC15;PRPF19;SCAF8",30
"661",1185,"EGFR-containing signaling complex","PIK3C2A;PIK3C2B;EGFR;ERBB2",4
"662",1186,"ESCRT-III complex","CHMP2A;CHMP1B;CHMP4C;CHMP6;CHMP4A;CHMP4B;CHMP1A;CHMP5;CHMP2B;CHMP3",10
"663",1187,"ESCRT-II complex","VPS36;SNF8;VPS25",3
"664",1188,"SMRT core complex","HDAC3;TBL1X;NCOR2",3
"665",1189,"DNA double-strand break end-joining complex","NBN;XRCC6;XRCC5;LIG4;MRE11A;XRCC4;RAD50",7
"666",1190,"NCBP-NIP1 complex","NCBP1;NECAB3",2
"667",1191,"RNA pol II containing coactivator complex Tat-SF","SUPT5H;HTATSF1;NCL;POLR2A;CDK9",5
"668",1192,"ESCRT-I complex","VPS37C;TSG101;VPS28",3
"669",1193,"Rap1 complex","PARP1;XRCC6;XRCC5;MRE11A;TERF2;RAD50;TERF2IP",7
"670",1194,"E2F-6 complex","E2F6;GJB3;MAX;RING1;TFDP1;MGA;YAF2;L3MBTL2;EHMT2;RNF2;PCGF6;EHMT1",12
"671",1195,"Exon junction complex (mRNA splicing-dependent)","PRPF8;SRRM1",2
"672",1196,"RAD51C-XRCC3 complex","RAD51C;XRCC3",2
"673",1197,"Telomere-associated protein complex","TERF1;TERF2;ACD;TINF2;POT1;TERF2IP",6
"674",1198,"TIN2 complex","TERF2;ACD;TINF2;POT1",4
"675",1199,"Oligosaccharyltransferase complex (Stt3A variant)","RPN1;RPN2;DDOST;STT3A;DAD1;MAGT1",6
"676",1200,"Oligosaccharyltransferase complex (Stt3B variant)","RPN1;RPN2;DDOST;DAD1;TUSC3;STT3B;MAGT1",7
"677",1201,"TRF1-TIN2 complex","TERF1;ACD;TINF2;POT1",4
"678",1202,"TRF1 telomere length regulation complex","TNKS;TERF1;TINF2",3
"679",1204,"Rap1 complex","TERF1;TERF2;RAD50;ACD;TINF2;POT1;TERF2IP",7
"680",1205,"TRF2-Rap1 complex III","TERF2;TERF2IP",2
"681",1206,"TRF-Rap1 complex I, 2MD","TNKS;TERF1;TERF2;TINF2;POT1;TERF2IP",6
"682",1207,"TRF2-Rap1 complex II","TERF2;TINF2;POT1;TERF2IP",4
"683",1211,"Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)","ARNT;AHR;RBX1;TBL3;CUL4B;DDB1",6
"684",1214,"Ubiquitin E3 ligase (DET1, DDB1, CUL4A, RBX1, COP1)","RBX1;CUL4A;DDB1;DET1;RFWD2",5
"685",1215,"Ubiquitin E3 ligase (FBXW7, CUL1, SKP1A, RBX1)","RBX1;SKP1;CUL1;FBXW7",4
"686",1217,"WRN-TRF2 complex","WRN;TERF2",2
"687",1218,"BLM-TRF2 complex","BLM;TERF2",2
"688",1219,"Tankyrin 1-tankyrin 2-TRF1 complex","TNKS;TERF1;TNKS2",3
"689",1220,"TRF2-Ku complex","XRCC6;XRCC5;TERF2",3
"690",1221,"TFIIA-TRF2 complex","GTF2A1;GTF2A2;TERF2",3
"691",1223,"H2AX complex, isolated from cells without IR exposure","HNRNPR;SSB;NPM1;HSPA5;PABPC1;H2AFX;CALR;CALM1; CAL;HIST1H4A;;SSRP1;HIST3H2BB;EIF3L;SUPT16H",14
"692",1224,"Ubiquitin E3 ligase (BMI1, SPOP, CUL3)","SPOP;BMI1;CUL3",3
"693",1225,"Ubiquitin E3 ligase (H2AFY, SPOP, CUL3)","SPOP;H2AFY;CUL3",3
"694",1226,"H2AX complex I","NPM1;PARP1;HSPA5;H2AFX;CALR;DHX30;HIST3H2BB",7
"695",1227,"H2AX complex II","NPM1;HSPA5;H2AFX;YBX3;CALR;HIST1H2BB;HIST1H4A;;HIST3H2BB;PTCD3;HIST1H2BM",10
"696",1230,"WINAC complex","ARID1A;ACTL6A;VDR;SMARCA2;SMARCA4;TOP2B;SMARCB1;CHAF1A;SMARCC2;SMARCC1;SMARCE1;SMARCD1;BAZ1B;SUPT16H",14
"697",1231,"FIB-associated protein complex","PRMT5;FBL;C1QBP;TUBA1A;PRMT1;TUBB1",6
"698",1232,"REST-CoREST-mSIN3A complex","REST;SIN3A;RCOR1",3
"699",1233,"CoREST-HDAC2 complex","HDAC2;RCOR1",2
"700",1237,"BAF complex","ARID1A;ACTL6A;SMARCA2;SMARCA4;SMARCB1;SMARCC2;SMARCC1;SMARCE1;SMARCD1",9
"701",1238,"PBAF complex (Polybromo- and BAF containing complex)","ACTL6A;SMARCA4;SMARCB1;ARID2;PBRM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1",9
"702",1239,"EBAFb complex","ACTL6A;SMARCA4;MLLT1;SMARCB1;ARID1B;SMARCC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1",10
"703",1243,"Ubiquitin E3 ligase (SPOP, DAXX, CUL3)","SPOP;CUL3;DAXX",3
"704",1245,"Protein phosphatase 4 complex","PPP4C;PPP4R2",2
"705",1248,"Apoptosome","APAF1;CYCS",2
"706",1250,"RB-E2F1 complex","RB1;E2F1",2
"707",1251,"BAF complex","ARID1A;ACTL6A;SMARCA2;SMARCB1;SMARCC2;SMARCC1;SMARCE1;SMARCD1",8
"708",1252,"EBAFa complex","ARID1A;ACTL6A;SMARCA4;MLLT1;SMARCB1;SMARCC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1",10
"709",1253,"Ubiquitin E3 ligase (FBXW7, CUL1, SKP1A, RBX1)","RBX1;SKP1;CUL1;FBXW7",4
"710",1254,"Menin-associated histone methyltransferase complex","MEN1;POLR2B;WDR5;KDM6B;DPY30;ASH2L;KMT2B",7
"711",1255,"Ubiquitin E3 ligase (SIAH1, SIP, SKP1A, TBL1X)","TBL1X;SKP1;SIAH1;CACYBP",4
"712",1256,"MLL-HCF complex","MEN1;SERPIND1;HCFC1;WDR5;KMT2A;KDM6B;ASH2L",7
"713",1257,"ALL-1 supercomplex","SAP18;SMARCA5;KDM1A;SAP30;MTA2;MBD3;TBP;TAF1;TAF6;SMARCA2;WDR5;RAN;KMT2A;RBBP4;SMARCB1;CHD3;HDAC1;EFTUD2;KDM6B;TAF12;RBBP7;TAF9;SMARCC2;HDAC2;SYMPK;SMARCC1;SIN3A;CPSF2",28
"714",1258,"Ubiquitin E3 ligase (GLMN, FBXW8, SKP1A, RBX1)","RBX1;SKP1;FBXW8;GLMN",4
"715",1259,"Chromatin assembly complex (CAF-1 complex)","RBBP4;CHAF1A;CHAF1B",3
"716",1260,"Neddylin ligase (FBXO11, SKP1, CUL1, RBX1)","RBX1;SKP1;CUL1;FBXO11",4
"717",1261,"SRm160/300 complex","SNRNP70;SNRPA1;TRA2B;SRRM1;SRRM2",5
"718",1287,"HNRPF-HNRPH1 complex","HNRNPH1;HNRNPF",2
"719",1288,"DCS complex (PTBP1, PTBP2, HNRPH1, HNRPF)","PTBP1;HNRNPH1;HNRNPF;PTBP2",4
"720",1293,"IPO13-RBM8A-MAGOH complex","IPO13;MAGOH;RBM8A",3
"721",1296,"DCP1A-DCP2 Decapping complex","DCP2;DCP1A",2
"722",1297,"MKK4-ARRB2-ASK1 complex","ARRB2;MAP2K4;MAP3K5",3
"723",1298,"MKK4-ARRB2-JNK3 complex","ARRB2;MAP2K4;MAPK10",3
"724",1299,"POSH-MLK3 complex","MAP3K11;SH3RF1",2
"725",1300,"CRLR-RAMP1 complex","RAMP1;CALCRL",2
"726",1301,"CRLR-RAMP1 complex","RAMP1;CALCRL",2
"727",1306,"PIN1-AUF1 complex","PIN1;HNRNPD",2
"728",1307,"Multiprotein complex (mRNA turnover)","SYNCRIP;CSDE1;PABPC1;HNRNPD;PAIP1",5
"729",1308,"PABPC1-HSPA8-HNRPD-EIF4G1 complex","HSPA8;PABPC1;EIF4G1;HNRNPD;",5
"730",1317,"ATF7-TAF12 complex","ATF7;TAF12",2
"731",1318,"Transcription initiation factor complex (TAF1, TAF5, TAF11, TAF12, TBP)","TBP;TAF1;TAF5;TAF11;TAF12",5
"732",1321,"Transcription initiation factor complex (TAF5, TAF6, TAF9, TAF11, TBP)","TBP;TAF6;TAF5;TAF11;TAF9",5
"733",1332,"Large Drosha complex","DDX3X;HNRNPDL;DHX15;DDX5;HNRNPH1;FUS;HNRNPM;HNRNPU;EWSR1;ILF2;ILF3;TARDBP;DGCR8;DDX1;TAF15;DDX17;SRPK1;HNRNPUL1;DROSHA;RALY",20
"734",1335,"SNW1 complex","SNRNP200;UBR5;TUBB;HSPA5;PFKL;SFPQ;EEF1G;MATR3;MSH2;EEF1A1;HNRNPU;SNW1;EFTUD2;DDB1;PRPF8;CDC5L;DDX23;ABCF2",18
"735",1338,"FOXO3-PCAF complex, oxidative stress stimulated","FOXO3;KAT2B",2
"736",1345,"Septin complex","SEPT2;SEPT7;SEPT8;SEPT11;SEPT9",5
"737",1347,"NPC subcomplex (NUP98, NUP107, NUP133, NUP160)","NUP98;NUP107;NUP160;NUP133",4
"738",1348,"GLE1-NUPL2-NUP155 complex","NUPL2;NUP155;GLE1",3
"739",1352,"ING4 complex (ING4, JADE1, KAT7, MEAF6)","KAT7;JADE1;MEAF6;ING4",4
"740",1372,"Rb-tal-1-E2A-Lmo2-Ldb1 complex","RB1;TCF3;TAL1;LMO2;LDB1",5
"741",1377,"hASC-1 complex","TRIP4;ASCC3;ASCC1;ASCC2",4
"742",1379,"GALNS-lysosomal hydrolase 1.27 MDa complex","CTSA;GLB1;GALNS;NEU1",4
"743",1380,"Elongator holo complex","IKBKAP;ELP2;ELP4;ELP3",4
"744",1385,"DICER1-NCOA6-AGO2 complex","NCOA6;AGO2;DICER1",3
"745",1386,"TTP-AGO4 complex","ZFP36;AGO4",2
"746",1387,"TTP-AGO2 complex","ZFP36;AGO2",2
"747",1399,"WDR5-ASH2L-RBBP5-MLL2 complex","KMT2D;WDR5;KDM6B;ASH2L",4
"748",1400,"ASCOM complex","KMT2D;TUBB;TUBA4A;NCOA6;KDM6B;KMT2C;ASH2L",7
"749",1401,"MOF complex","KMT2D;SETD1A;TAF1;TAF6;WDR5;KMT2A;KDM6B;TAF9;RNF2;KAT8",10
"750",1413,"NCOR1 complex","HDAC3;NCOR1;SMARCA4;SMARCB1;TRIM28;SF3B3;SF3A1;SRCAP;SMARCC2;SMARCC1",10
"751",1439,"PTGS2 homodimer complex","PTGS2",1
"752",1448,"LIN2-LIN7-SAP97 complex","LIN7A;CASK;DLG1",3
"753",1452,"MCM2-MCM6-MCM7 complex","MCM7;MCM2;MCM6",3
"754",1457,"AFF1-MLLT1-CBX8 complex","AFF1;MLLT1;CBX8",3
"755",1458,"SNF2h-HDAC12 complex","SMARCA5;HDAC2",2
"756",1462,"hPRC1L complex","BMI1;RING1;PHC2;RNF2",4
"757",1464,"Mis12 centromere complex","ZWINT;CBX5;PMF1;NSL1;MIS12;DSN1",6
"758",1471,"pRb2/p130-multimolecular complex (RB2, E2F5, HDAC1, SUV39H1, P300)","SUV39H1;RBL2;EP300;HDAC1;E2F5",5
"759",1473,"E2F5-RB2-DP1 complex","RBL2;TFDP1;E2F5",3
"760",1474,"SMAD3/4-E2F4/5-p107-DP1 complex","RBL1;SMAD3;SMAD4;TFDP1;E2F5;E2F4",6
"761",1488,"DNMT1-RB1-HDAC1-E2F1 complex","RB1;DNMT1;E2F1;HDAC1",4
"762",1490,"DAXX-DNMT1-DMAP1 complex","DNMT1;DMAP1;DAXX",3
"763",1491,"RGS6-DNMT1-DMAP1 complex","DNMT1;RGS6;DMAP1",3
"764",1492,"BHC110 complex","KDM1A;ZNF217;HDAC1;GSE1;ZNF516;HDAC2;PHF21A;HMG20B;ZMYM2;RCOR1",10
"765",1495,"PID complex","MTA2;MBD3;RBBP4;HDAC1;CHD4",5
"766",1505,"NCOR2 complex","HDAC3;NCOR1;SAP30;HDAC1;HDAC2;SIN3A;NCOR2",7
"767",1508,"BCL6-ZBTB17 complex","BCL6;ZBTB17",2
"768",1514,"IL4-IL4R complex","IL4;IL4R",2
"769",1515,"IL4-IL4R-IL2RG complex","IL4;IL4R;IL2RG",3
"770",1519,"IL6ST-PRKCD-STAT3 complex","IL6ST;STAT3;PRKCD",3
"771",1520,"STAT3-NLK-MAP3K7 complex","MAP3K7;STAT3;NLK",3
"772",1521,"p300-SMAD1-STAT3 complex","STAT3;EP300;SMAD1",3
"773",1522,"STAT3 homodimer complex","STAT3",1
"774",1530,"Girdin homo-oligomer complex","CCDC88A",1
"775",1539,"G protein complex (GNG2, GNB2L1, RAF1)","RAF1;GNG2;RACK1",3
"776",1543,"PPP2CA-PPP2R1A complex","PPP2R1A;PPP2CA",2
"777",1544,"PPP2CA-PPP2R1A-PPP2R3A complex","PPP2R1A;PPP2CA;PPP2R3A",3
"778",1551,"IPO13-RAN-EIF1AX complex","IPO13;EIF1AX;RAN",3
"779",1552,"TNPO2-RAN-NXF1 complex","TNPO2;RAN;NXF1",3
"780",1554,"RANBP1-RAN-KPNB1 complex","RANBP1;RAN;KPNB1",3
"781",1557,"NMI-POLR1B-RRN3 complex","NMI;POLR1B;RRN3",3
"782",1558,"POLR1B-RRN3 complex","POLR1B;RRN3",2
"783",1559,"NMI-RRN3 complex","NMI;RRN3",2
"784",1561,"NMI homodimer complex","NMI",1
"785",1571,"Vigilin-DNA-PK-Ku antigen complex","XRCC6;XRCC5;PRKDC;HDLBP",4
"786",1612,"GNAS-GNB1-GNG2 complex","GNG2;GNB1;GNAS",3
"787",1614,"G protein complex (MCF2, GNB1, GNG2)","MCF2;GNG2;GNB1",3
"788",1615,"G protein complex (BTK, GNG1, GNG2)","GNG2;GNB1;BTK",3
"789",1617,"G protein complex (CACNA1A, GNB1, GNG2)","CACNA1A;GNG2;GNB1",3
"790",1618,"G protein complex (PTHR1, GNB1, GNG2)","GNG2;GNB1;PTH1R",3
"791",1619,"G protein complex (HDAC5, GNB1, GNG2)","GNG2;GNB1;HDAC5",3
"792",1620,"G protein complex (HDAC4, GNB1, GNG2)","HDAC4;GNG2;GNB1",3
"793",1623,"FA core complex 1 (Fanconi anemia core complex 1)","FANCG;FANCA;FANCC;FANCE;FANCF",5
"794",1624,"FA core complex (Fanconi anemia core complex)","FANCG;FANCA;FANCC;FAAP100;FANCM;FANCB;FANCE;FANCF;FANCL",9
"795",1625,"FA core complex (Fanconi anemia core complex)","FANCG;FANCA;FANCC;FANCM;FANCB;FANCE;FANCF",7
"796",1633,"CyclinD1-CDK4-CDK6 complex","CDK4;CCND1;CDK6",3
"797",1634,"CyclinD1-CDK4-p21 complex","CDK4;CCND1;CDKN1A",3
"798",1642,"p16-cyclin D2-CDK4 complex","CDK4;CCND2;CDKN2A",3
"799",1656,"p27-cyclinE-CDK2 complex","CCNE1;CDK2;CDKN1B",3
"800",1661,"E2F4-p107-cyclinA complex","CCNA2;RBL1;E2F4",3
"801",1695,"SCAMP1-SCAMP2 complex","SCAMP1;SCAMP2",2
"802",1700,"ABL2-HRAS-RIN1 complex","HRAS;ABL2;RIN1",3
"803",1703,"IGHM-VPREB1-IGLL1 complex","IGHM;VPREB1;IGLL1",3
"804",1707,"IL2-IL2RA-IL2RB complex","IL2RA;IL2RB;IL2",3
"805",1714,"TICAM1-TICAM2-TLR4 complex","TLR4;TICAM2;TICAM1",3
"806",1728,"CTCF-nucleophosmin-PARP-HIS-KPNA-LMNA-TOP complex","KPNA3;LMNA;NPM1;PARP1;H2AFZ;TOP2A;CTCF;KPNA1;HIST2H2AA3",9
"807",1729,"TLE1 corepressor complex (MASH1 promoter-corepressor complex)","NPM1;PARP1;NCL;HSPA4;MYH10;ACTB;TOP2B;TLE1;NONO;RAD50",10
"808",1731,"PRMT1 complex","PRMT1",1
"809",1734,"SF3A1-SF3A2-SF3A3 complex","SF3A3;SF3A2;SF3A1",3
"810",1737,"SF3b complex","SF3B1;SF3B2;SF3B3;SF3B4;PHF5A;DDX42;SF3B5;SF3B6",8
"811",1743,"(E.F.G) complex","SNRPE;SNRPF;SNRPG",3
"812",1745,"SMN complex","GEMIN2;SNRPA;SNRPB;GEMIN4;SNRPE;SNRPF;SNRPG;SNRPD1;SNRPD2;SNRPD3;SNRPN;GEMIN5;GEMIN6;GEMIN7;DDX20",15
"813",1746,"SMN containing complex","GEMIN2;LGALS1;LGALS3;GEMIN4;SNRPD1;SNRPD2;SNRPD3;SMN1; SMN2",9
"814",1748,"PRMT5 complex","PRMT5",1
"815",1749,"SMN-PolII-RHA complex","GEMIN2;SNRPB2;SNRPB;TBP;POLR2A;GEMIN4;SNRPN;GTF2B;DHX9;DDX20",10
"816",1750,"PPP4C-PPP4R2-Gemin3-Gemin4 complex","GEMIN4;PPP4C;PPP4R2;DDX20",4
"817",1751,"SMN complex","GEMIN2;SNRPA;SNRPB;GEMIN4;SMN1; SMN2;GEMIN5;GEMIN6;GEMIN7;DDX20;STRAP",11
"818",1752,"SMN complex","GEMIN2;GEMIN4;SMN1; SMN2;GEMIN5;GEMIN6;GEMIN7;DDX20",8
"819",1760,"TOP1-PSF-P54 complex","TOP1;SFPQ;NONO",3
"820",1767,"CPSF6-ITCH-NUDT21-POLR2A-UBAP2L complex","NUDT21;POLR2A;UBAP2L;CPSF6;ITCH",5
"821",1768,"CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L complex","NUDT21;POLR2A;EWSR1;UBAP2L;CPSF6;ITCH",6
"822",1769,"CPSF6-ITCH-NUDT21-POLR2A complex","NUDT21;POLR2A;CPSF6;ITCH",4
"823",1772,"MICB-KLRK1-HCST complex","KLRK1;MICB;HCST",3
"824",1773,"ULBP3-KLRK1-HCST complex","KLRK1;ULBP3;HCST",3
"825",1774,"MICA-KLRK1-HCST complex","KLRK1;MICA;HCST",3
"826",1775,"ULBP2-KLRK1-HCST complex","KLRK1;ULBP2;HCST",3
"827",1777,"Ubiquitin E3 ligase (SMURF2, SMAD7) - TGF(beta)","SMAD7;TGFBR1;TGFBR2;SMURF2",4
"828",1779,"TGF-beta-receptor-PAR6 complex","TGFBR1;TGFBR2;PARD6A",3
"829",1783,"Ubiquitin E3 ligase (SMAD7, SMURF1) - TGFBR1","SMAD7;TGFBR1;SMURF1",3
"830",1784,"RNF11-SMURF2-STAMBP complex","STAMBP;SMURF2;RNF11",3
